Tanggal;Tavg;RH_avg;RR;ss;ff_avg;DDD_CAR
2024-01-06;27.8;83.0;1.0;4.0;1.0;1.0
2024-01-07;28.1;80.0;1.3;3.7;1.0;1.0
2024-01-08;28.3;79.0;;4.2;1.0;1.0
2024-01-09;29.2;76.0;;0.0;2.0;1.0
2024-01-10;29.2;76.0;;6.0;2.0;1.0
2024-01-11;27.3;87.0;0.0;3.8;1.0;1.0
2024-01-12;28.6;75.0;42.0;0.8;2.0;1.0
2024-01-13;28.4;80.0;0.0;3.0;1.0;1.0
2024-01-14;29.5;76.0;2.4;0.4;2.0;1.0
2024-01-15;29.4;74.0;;3.9;2.0;9.0
2024-01-16;30.2;69.0;0.0;3.2;2.0;8.0
2024-01-17;28.4;80.0;;5.6;1.0;1.0
2024-01-18;28.2;79.0;1.5;1.0;2.0;8.0
2024-01-19;26.4;85.0;7.7;1.0;2.0;8.0
2024-01-20;30.5;64.0;11.0;0.0;2.0;1.0
2024-01-21;28.8;76.0;;8.0;2.0;7.0
2024-01-22;30.4;66.0;7.0;5.4;3.0;8.0
2024-01-23;30.1;68.0;;5.8;1.0;1.0
2024-01-24;30.2;67.0;;2.7;2.0;1.0
2024-01-25;30.1;72.0;0.0;5.7;1.0;1.0
2024-01-26;29.1;78.0;0.0;6.7;3.0;9.0
2024-01-27;26.3;90.0;14.0;2.5;0.0;1.0
2024-01-28;27.4;85.0;28.0;0.0;1.0;1.0
2024-01-29;27.2;88.0;24.0;1.2;1.0;1.0
2024-01-30;26.9;88.0;17.6;0.8;1.0;1.0
2024-01-31;27.9;81.0;110.5;0.7;1.0;1.0
2024-02-01;27.8;83.0;;2.2;1.0;1.0
2024-02-02;28.2;81.0;20.1;3.1;1.0;1.0
2024-02-03;28.1;79.0;20.3;3.2;2.0;8.0
2024-02-04;28.0;81.0;;0.8;1.0;1.0
2024-02-05;27.9;84.0;14.0;2.4;1.0;1.0
2024-02-06;26.4;86.0;6.8;3.4;1.0;1.0
2024-02-07;28.9;75.0;14.8;3.5;1.0;1.0
2024-02-08;29.3;76.0;;5.0;2.0;1.0
2024-02-09;29.0;79.0;;8.5;2.0;9.0
2024-02-10;28.6;79.0;102.0;4.2;1.0;1.0
2024-02-11;28.8;78.0;0.0;5.2;2.0;9.0
2024-02-12;28.6;81.0;5.8;7.6;2.0;1.0
2024-02-13;28.6;80.0;3.0;5.0;2.0;1.0
2024-02-14;27.6;85.0;140.9;6.8;0.0;1.0
2024-02-15;28.5;85.0;3.0;2.1;1.0;1.0
2024-02-16;28.1;85.0;7.5;0.8;2.0;1.0
2024-02-17;28.3;82.0;18.4;0.2;1.0;1.0
2024-02-18;28.6;80.0;0.0;3.0;2.0;1.0
2024-02-19;29.5;78.0;0.0;2.7;2.0;1.0
2024-02-20;29.8;78.0;;5.2;2.0;1.0
2024-02-21;29.5;77.0;0.2;7.2;1.0;1.0
2024-02-22;30.6;74.0;0.0;0.3;3.0;1.0
2024-02-23;30.3;72.0;3.2;5.8;2.0;1.0
2024-02-24;28.9;80.0;;2.4;3.0;1.0
2024-02-25;28.4;81.0;5.7;3.8;2.0;1.0
2024-02-26;28.7;79.0;20.8;1.7;0.0;1.0
2024-02-27;29.1;78.0;0.0;2.5;1.0;1.0
2024-02-28;27.6;88.0;38.5;5.2;1.0;1.0
2024-02-29;26.1;92.0;75.5;0.3;0.0;1.0
2024-03-01;29.1;77.0;10.0;0.0;2.0;1.0
2024-03-02;27.7;86.0;;5.2;1.0;9.0
2024-03-03;27.7;86.0;17.7;0.0;2.0;1.0
2024-03-04;29.2;74.0;6.8;0.2;2.0;1.0
2024-03-05;30.2;71.0;1.0;1.0;2.0;1.0
2024-03-06;29.6;75.0;;2.4;2.0;1.0
2024-03-07;29.7;74.0;4.0;1.2;1.0;1.0
2024-03-08;29.2;75.0;0.0;4.6;1.0;1.0
2024-03-09;;94.0;4.2;0.5;0.0;1.0
2024-03-10;27.9;86.0;47.7;0.0;1.0;1.0
2024-03-11;27.9;86.0;10.4;0.2;1.0;1.0
2024-03-12;28.8;79.0;16.0;0.0;1.0;1.0
2024-03-13;28.2;84.0;4.3;3.0;2.0;1.0
2024-03-14;27.2;86.0;24.0;1.2;1.0;1.0
2024-03-15;27.4;83.0;31.8;0.0;1.0;1.0
2024-03-16;26.0;91.0;6.5;0.0;1.0;1.0
2024-03-17;27.0;85.0;19.0;1.0;2.0;8.0
2024-03-18;29.0;77.0;21.7;2.1;2.0;1.0
2024-03-19;30.2;65.0;0.3;5.0;1.0;1.0
2024-03-20;30.4;63.0;;9.9;3.0;8.0
2024-03-21;29.0;77.0;0.0;9.7;2.0;1.0
2024-03-22;26.4;91.0;63.3;9.0;0.0;1.0
2024-03-23;29.8;75.0;3.8;0.0;1.0;1.0
2024-03-24;29.9;77.0;;9.9;1.0;1.0
2024-03-25;29.2;80.0;;8.0;1.0;1.0
2024-03-26;30.2;75.0;;5.0;1.0;1.0
2024-03-27;28.3;82.0;0.4;5.2;1.0;1.0
2024-03-28;29.3;77.0;;0.0;1.0;1.0
2024-03-29;29.8;75.0;0.0;5.5;0.0;1.0
2024-03-30;29.7;77.0;;6.2;1.0;1.0
2024-03-31;28.9;82.0;;4.5;1.0;1.0
2024-04-01;29.2;78.0;18.2;4.0;1.0;1.0
2024-04-02;29.5;77.0;1.2;5.4;1.0;1.0
2024-04-03;28.3;83.0;0.0;2.0;2.0;1.0
2024-04-04;30.2;75.0;5.6;4.0;1.0;1.0
2024-04-05;29.6;80.0;;6.2;0.0;1.0
