time;pm10;pm25;so2;co;o3;no2;tavg;rhum;prcp;wspd;wdir
2023-06-20;56.0;75.0;41.0;14.0;25.0;28.0;29.5;80.0;0.1;7.1;79.0
2023-06-21;55.0;87.0;41.0;10.0;36.0;26.0;29.6;84.0;2.9;6.5;65.0
2023-06-22;63.0;98.0;37.0;13.0;33.0;35.0;29.5;80.0;0.5;6.6;34.0
2023-06-23;55.0;78.0;39.0;10.0;28.0;24.0;29.5;82.0;2.5;6.8;207.0
2023-06-24;51.0;74.0;37.0;10.0;34.0;29.0;28.7;82.0;1.0;6.2;196.0
2023-06-25;55.0;83.0;36.0;10.0;39.0;24.0;28.0;84.0;7.6;6.3;19.0
2023-06-26;54.0;77.0;37.0;12.0;33.0;29.0;28.7;83.0;0.0;5.4;312.0
2023-06-27;64.0;94.0;42.0;11.0;28.0;30.0;28.8;78.0;1.9;7.3;65.0
2023-06-28;43.0;67.0;38.0;11.0;25.0;25.0;29.5;76.0;2.0;6.7;355.0
2023-06-29;36.0;56.0;37.0;9.0;24.0;16.0;29.0;77.0;4.1;8.0;291.0
2023-06-30;38.0;65.0;36.0;10.0;28.0;18.0;29.9;78.0;4.1;7.8;285.0
2023-07-01;55.0;83.0;38.0;12.0;20.0;28.0;29.3;80.0;7.3;7.3;285.0
2023-07-02;55.0;83.0;37.0;11.0;26.0;27.0;29.0;81.0;2.8;7.9;77.0
2023-07-03;55.0;81.0;40.0;10.0;24.0;28.0;29.3;79.0;2.7;7.3;349.0
2023-07-04;53.0;76.0;38.0;12.0;25.0;31.0;29.4;76.0;1.0;6.6;312.0
2023-07-05;62.0;95.0;43.0;11.0;23.0;35.0;29.8;78.0;1.2;7.9;343.0
2023-07-06;66.0;101.0;39.0;11.0;22.0;35.0;27.8;86.0;8.9;5.9;324.0
2023-07-07;65.0;97.0;45.0;11.0;32.0;35.0;27.1;86.0;1.0;5.4;26.0
2023-07-08;54.0;69.0;38.0;11.0;21.0;29.0;28.3;84.0;7.3;7.6;86.0
2023-07-09;42.0;67.0;38.0;12.0;15.0;23.0;29.3;77.0;0.8;8.7;110.0
2023-07-10;42.0;62.0;40.0;10.0;17.0;17.0;29.5;81.0;8.6;9.2;127.0
2023-07-11;52.0;73.0;42.0;11.0;13.0;27.0;29.6;78.0;2.4;7.3;345.0
2023-07-12;57.0;89.0;40.0;12.0;25.0;32.0;29.3;77.0;0.6;6.3;310.0
2023-07-13;63.0;92.0;40.0;12.0;36.0;33.0;29.2;73.0;0.1;7.2;316.0
2023-07-14;59.0;90.0;39.0;12.0;36.0;35.0;29.3;76.0;2.3;8.1;219.0
2023-07-15;56.0;82.0;40.0;11.0;21.0;28.0;29.2;79.0;1.7;7.3;334.0
2023-07-16;55.0;82.0;41.0;11.0;21.0;25.0;29.4;78.0;1.7;6.0;1.0
2023-07-17;52.0;76.0;38.0;12.0;24.0;22.0;29.4;72.0;0.0;8.2;82.0
2023-07-18;60.0;87.0;40.0;11.0;21.0;24.0;29.1;67.0;0.1;9.4;85.0
2023-07-19;56.0;84.0;39.0;11.0;23.0;22.0;29.4;62.0;0.0;9.0;115.0
