tanggal;pm10;pm25;so2;co;o3;no2
2023-09-12;56.0;82.0;41.0;10.0;18.0;24.0
2023-09-13;55.0;86.0;41.0;10.0;31.0;26.0
2023-09-14;55.0;73.0;42.0;9.0;29.0;29.0
2023-09-15;58.0;82.0;44.0;8.0;29.0;27.0
2023-09-16;60.0;88.0;46.0;7.0;33.0;26.0
2023-09-17;57.0;76.0;43.0;6.0;33.0;20.0
2023-09-18;53.0;76.0;42.0;6.0;32.0;20.0
2023-09-19;60.0;88.0;41.0;9.0;33.0;30.0
2023-09-20;62.0;84.0;43.0;8.0;21.0;33.0
2023-09-21;61.0;84.0;44.0;8.0;29.0;32.0
2023-09-22;60.0;87.0;44.0;9.0;29.0;30.0
2023-09-23;57.0;86.0;45.0;8.0;33.0;31.0
2023-09-24;55.0;78.0;44.0;7.0;30.0;23.0
2023-09-25;59.0;84.0;46.0;9.0;35.0;30.0
2023-09-26;58.0;89.0;45.0;8.0;27.0;34.0
2023-09-27;57.0;88.0;46.0;9.0;23.0;33.0
2023-09-28;58.0;99.0;46.0;8.0;29.0;23.0
2023-09-29;58.0;88.0;47.0;8.0;29.0;22.0
2023-09-30;;;;;;
2023-10-01;75.0;122.0;43.0;5.0;37.0;29.0
2023-10-02;76.0;122.0;43.0;8.0;35.0;31.0
2023-10-03;58.0;86.0;41.0;7.0;36.0;26.0
2023-10-04;65.0;95.0;43.0;7.0;30.0;33.0
2023-10-05;62.0;89.0;46.0;5.0;27.0;26.0
2023-10-06;59.0;86.0;46.0;5.0;39.0;26.0
2023-10-07;72.0;107.0;46.0;5.0;30.0;38.0
2023-10-08;64.0;92.0;49.0;4.0;29.0;27.0
2023-10-09;58.0;85.0;48.0;5.0;25.0;23.0
2023-10-10;59.0;78.0;50.0;5.0;36.0;26.0
2023-10-11;53.0;74.0;48.0;4.0;31.0;26.0
2023-10-12;62.0;93.0;47.0;4.0;34.0;33.0
2023-10-13;63.0;89.0;47.0;3.0;41.0;26.0
2023-10-14;65.0;102.0;47.0;;24.0;32.0
2023-10-15;62.0;98.0;48.0;;25.0;22.0
2023-10-16;59.0;96.0;50.0;;31.0;24.0
2023-10-17;61.0;93.0;49.0;;43.0;25.0
2023-10-18;64.0;108.0;50.0;9.0;29.0;34.0
