Tanggal;Tavg;RH_avg;RR;ss;ff_avg;DDD_CAR;lat;long;elevation
11-08-2021;28,7;74;8888;0,4;2;C ;-6.155559;106.84;4
12-08-2021;29,1;64;;6,5;2;C ;-6.155559;106.84;4
13-08-2021;28,2;76;0;7;1;C ;-6.155559;106.84;4
14-08-2021;29,1;72;0;2;2;C ;-6.155559;106.84;4
15-08-2021;29,6;68;;6,3;2;C ;-6.155559;106.84;4
16-08-2021;29,4;67;;6,4;2;C ;-6.155559;106.84;4
17-08-2021;29,3;71;0;7,5;1;C ;-6.155559;106.84;4
18-08-2021;28,8;73;0;5,2;2;C ;-6.155559;106.84;4
19-08-2021;28,2;75;;4;2;C ;-6.155559;106.84;4
20-08-2021;28,6;72;;4,2;2;C ;-6.155559;106.84;4
21-08-2021;27,6;77;3,7;4,5;2;C ;-6.155559;106.84;4
22-08-2021;28,8;74;;1,5;1;C ;-6.155559;106.84;4
23-08-2021;28,8;77;;3,4;1;C ;-6.155559;106.84;4
24-08-2021;29,1;72;;6,5;2;C ;-6.155559;106.84;4
25-08-2021;28,5;68;8888;2,1;1;C ;-6.155559;106.84;4
26-08-2021;28,9;66;0;5,7;2;C ;-6.155559;106.84;4
27-08-2021;28,6;71;;7,5;1;C ;-6.155559;106.84;4
28-08-2021;29,8;63;;7;1;C ;-6.155559;106.84;4
29-08-2021;28,6;72;0;6,5;1;C ;-6.155559;106.84;4
30-08-2021;28,7;77;;0,5;2;C ;-6.155559;106.84;4
31-08-2021;29,3;79;;2;1;C ;-6.155559;106.84;4
01-09-2021;29,4;70;;3;1;C ;-6.155559;106.84;4
02-09-2021;28,9;71;0;7;1;C ;-6.155559;106.84;4
03-09-2021;29;70;0;6;1;C ;-6.155559;106.84;4
04-09-2021;28,7;70;;4,4;1;C ;-6.155559;106.84;4
05-09-2021;29,6;67;;7;2;C ;-6.155559;106.84;4
06-09-2021;29,6;72;0;5,2;2;C ;-6.155559;106.84;4
07-09-2021;28,8;74;0;4,3;1;C ;-6.155559;106.84;4
08-09-2021;27,9;78;6,9;4;2;C ;-6.155559;106.84;4
09-09-2021;27,8;74;22;7,2;1;C ;-6.155559;106.84;4
10-09-2021;28,5;64;0;8,7;1;C ;-6.155559;106.84;4
11-09-2021;29,1;70;0;8;1;C ;-6.155559;106.84;4
12-09-2021;28,8;76;0;5;1;C ;-6.155559;106.84;4
13-09-2021;29,3;73;;1,6;2;C ;-6.155559;106.84;4
14-09-2021;25,8;89;36,7;5,5;1;C ;-6.155559;106.84;4
15-09-2021;28;82;5,7;0;2;C ;-6.155559;106.84;4
16-09-2021;29,2;77;;5,6;2;C ;-6.155559;106.84;4
17-09-2021;29,7;72;0;9,7;2;C ;-6.155559;106.84;4
18-09-2021;30,5;63;;8;1;C ;-6.155559;106.84;4
19-09-2021;28,6;76;0;8;1;C ;-6.155559;106.84;4
20-09-2021;28,8;72;17;5,6;1;C ;-6.155559;106.84;4
21-09-2021;28,8;71;;;1;C ;-6.155559;106.84;4
22-09-2021;29,5;69;;6;1;C ;-6.155559;106.84;4
23-09-2021;29,7;69;0;8;2;C ;-6.155559;106.84;4
24-09-2021;29,9;69;;6,9;2;E ;-6.155559;106.84;4
25-09-2021;29,9;73;;8;2;E ;-6.155559;106.84;4
26-09-2021;29,7;74;0;9,8;2;C ;-6.155559;106.84;4
27-09-2021;29,1;79;17,6;8;1;C ;-6.155559;106.84;4
28-09-2021;29;80;7,5;7;2;C ;-6.155559;106.84;4
29-09-2021;29,4;74;;6,5;2;C ;-6.155559;106.84;4
30-09-2021;29,6;72;0;8;1;C ;-6.155559;106.84;4
01-10-2021;29,1;75;1,5;8;1;C ;-6.155559;106.84;4
02-10-2021;28,9;75;;3,2;1;C ;-6.155559;106.84;4
03-10-2021;29,1;69;;3;2;C ;-6.155559;106.84;4
04-10-2021;28,4;75;0;7,7;1;C ;-6.155559;106.84;4
05-10-2021;29;66;16,2;4,6;1;C ;-6.155559;106.84;4
06-10-2021;28,7;77;;6,8;1;C ;-6.155559;106.84;4
07-10-2021;29,3;66;;5,5;2;C ;-6.155559;106.84;4
08-10-2021;28,7;72;;6,4;1;C ;-6.155559;106.84;4
09-10-2021;29,6;70;0;5,6;2;C ;-6.155559;106.84;4
10-10-2021;29,8;72;;9,8;2;C ;-6.155559;106.84;4
11-10-2021;29,3;70;;7;2;C ;-6.155559;106.84;4
12-10-2021;29,5;68;0;5,8;1;C ;-6.155559;106.84;4
13-10-2021;30,1;68;0;8;1;C ;-6.155559;106.84;4
14-10-2021;29,5;72;;7;2;C ;-6.155559;106.84;4
15-10-2021;30,2;71;0;2,7;1;C ;-6.155559;106.84;4
16-10-2021;30,1;70;;5;2;C ;-6.155559;106.84;4
17-10-2021;30,4;72;;5,7;1;C ;-6.155559;106.84;4
18-10-2021;26;90;55,3;8;0;C ;-6.155559;106.84;4
19-10-2021;27,7;77;20,7;0;1;C ;-6.155559;106.84;4
20-10-2021;29;74;0;2,6;1;C ;-6.155559;106.84;4
21-10-2021;28,5;83;46,5;5,8;1;C ;-6.155559;106.84;4
22-10-2021;29,1;77;4;4;1;C ;-6.155559;106.84;4
23-10-2021;29,3;72;;3,5;1;C ;-6.155559;106.84;4
24-10-2021;30;73;0;3,6;1;C ;-6.155559;106.84;4
25-10-2021;29;75;0;8;1;C ;-6.155559;106.84;4
26-10-2021;29,8;72;8888;3,2;1;C ;-6.155559;106.84;4
27-10-2021;28,7;80;1,2;6;2;C ;-6.155559;106.84;4
28-10-2021;27,3;86;28,1;3,4;1;C ;-6.155559;106.84;4
29-10-2021;28,6;74;7,8;2;2;C ;-6.155559;106.84;4
30-10-2021;29,3;73;;8;2;C ;-6.155559;106.84;4
31-10-2021;28,9;77;0,8;7,2;1;C ;-6.155559;106.84;4
01-11-2021;27,7;84;8888;4,5;1;C ;-6.155559;106.84;4
02-11-2021;28,6;76;2;1,6;1;C ;-6.155559;106.84;4
03-11-2021;28,5;78;;6;1;C ;-6.155559;106.84;4
04-11-2021;29;77;0,6;5,2;2;C ;-6.155559;106.84;4
05-11-2021;27,9;82;8888;5,8;0;C ;-6.155559;106.84;4
06-11-2021;29,4;76;2;1,4;2;C ;-6.155559;106.84;4
07-11-2021;27,6;84;;7,8;2;C ;-6.155559;106.84;4
08-11-2021;28,3;79;19,2;1,8;1;C ;-6.155559;106.84;4
09-11-2021;29,4;78;;4,5;1;C ;-6.155559;106.84;4
10-11-2021;28,6;76;1,9;3,4;1;C ;-6.155559;106.84;4
11-11-2021;28,3;77;2;1,1;2;W ;-6.155559;106.84;4
12-11-2021;28,5;74;0;0;1;C ;-6.155559;106.84;4
13-11-2021;27,5;85;26,4;1,5;1;C ;-6.155559;106.84;4
14-11-2021;29,4;76;30,3;1,7;1;C ;-6.155559;106.84;4
15-11-2021;27,7;80;1;3;2;W ;-6.155559;106.84;4
16-11-2021;29,8;67;8888;0;1;C ;-6.155559;106.84;4
