periode_data;tanggal;stasiun;pm_sepuluh;pm_duakomalima;sulfur_dioksida;karbon_monoksida;ozon;nitrogen_dioksida;max;critical;kategori
202302;14/02/2023;DKI1;23;18;34;5;23;11;34;SO2;BAIK
202302;14/02/2023;DKI2;21;23;16;7;16;13;23;PM25;BAIK
202302;14/02/2023;DKI3;24;34;52;7;9;2;52;SO2;SEDANG
202302;14/02/2023;DKI4;31;39;53;11;7;6;53;SO2;SEDANG
202302;14/02/2023;DKI5;20;-;21;11;21;3;21;SO2;BAIK
202302;15/02/2023;DKI1;21;21;34;6;17;11;34;SO2;BAIK
202302;15/02/2023;DKI2;23;28;17;6;17;11;28;PM25;BAIK
202302;15/02/2023;DKI3;20;33;53;6;9;1;53;SO2;SEDANG
202302;15/02/2023;DKI4;33;48;53;11;9;5;53;SO2;SEDANG
202302;15/02/2023;DKI5;13;-;22;11;22;2;22;SO2;BAIK
202302;16/02/2023;DKI1;29;30;35;6;20;15;35;SO2;BAIK
202302;16/02/2023;DKI2;32;35;20;7;17;15;35;PM25;BAIK
202302;16/02/2023;DKI3;30;48;54;7;6;1;54;SO2;SEDANG
202302;16/02/2023;DKI4;29;53;26;5;7;8;53;PM25;SEDANG
202302;16/02/2023;DKI5;21;-;24;11;21;2;24;SO2;BAIK
202302;17/02/2023;DKI1;33;43;39;7;18;21;43;PM25;BAIK
202302;17/02/2023;DKI2;38;39;22;9;17;18;39;PM25;BAIK
202302;17/02/2023;DKI3;30;41;53;7;9;1;53;SO2;SEDANG
202302;17/02/2023;DKI4;33;48;27;6;8;9;48;PM25;BAIK
202302;17/02/2023;DKI5;21;-;20;9;19;9;21;PM10;BAIK
202302;18/02/2023;DKI1;54;70;43;11;22;26;70;PM25;SEDANG
202302;18/02/2023;DKI2;52;61;19;15;19;26;61;PM25;SEDANG
202302;18/02/2023;DKI3;49;69;14;9;16;3;69;PM25;SEDANG
202302;18/02/2023;DKI4;51;75;27;11;14;14;75;PM25;SEDANG
202302;18/02/2023;DKI5;50;-;17;16;24;17;50;PM10;BAIK
202302;19/02/2023;DKI1;56;73;39;8;27;25;73;PM25;SEDANG
202302;19/02/2023;DKI2;57;69;25;13;20;23;69;PM25;SEDANG
202302;19/02/2023;DKI3;51;73;13;9;14;3;73;PM25;SEDANG
202302;19/02/2023;DKI4;60;82;27;13;13;14;82;PM25;SEDANG
202302;19/02/2023;DKI5;47;-;16;15;27;18;47;PM10;BAIK
202302;20/02/2023;DKI1;38;50;39;7;23;14;50;PM25;BAIK
202302;20/02/2023;DKI2;39;51;28;9;18;15;51;PM25;SEDANG
202302;20/02/2023;DKI3;42;56;13;7;7;-;56;PM25;SEDANG
202302;20/02/2023;DKI4;52;56;26;12;6;7;56;PM25;SEDANG
202302;20/02/2023;DKI5;30;-;15;11;20;8;30;PM10;BAIK
202302;21/02/2023;DKI1;24;32;39;8;21;16;39;SO2;BAIK
202302;21/02/2023;DKI2;25;39;19;8;14;13;39;PM25;BAIK
202302;21/02/2023;DKI3;33;45;13;6;6;-;45;PM25;BAIK
202302;21/02/2023;DKI4;40;41;26;6;6;6;41;PM25;BAIK
202302;21/02/2023;DKI5;25;-;17;8;20;7;25;PM10;BAIK
202302;22/02/2023;DKI1;29;31;40;8;23;19;40;SO2;BAIK
202302;22/02/2023;DKI2;27;37;20;7;25;16;37;PM25;BAIK
202302;22/02/2023;DKI3;29;44;13;6;9;1;44;PM25;BAIK
202302;22/02/2023;DKI4;39;43;27;6;9;8;43;PM25;BAIK
202302;22/02/2023;DKI5;18;-;17;8;22;9;22;O3;BAIK
202302;23/02/2023;DKI1;36;47;40;-;23;23;47;PM25;BAIK
202302;23/02/2023;DKI2;29;40;18;10;26;24;40;PM25;BAIK
202302;23/02/2023;DKI3;37;57;13;8;11;3;57;PM25;SEDANG
202302;23/02/2023;DKI4;50;59;27;11;8;14;59;PM25;SEDANG
202302;23/02/2023;DKI5;28;-;15;12;25;15;28;PM10;BAIK
202302;24/02/2023;DKI5;18;-;13;11;28;18;28;O3;BAIK
202302;24/02/2023;DKI1;28;33;44;10;22;28;44;SO2;BAIK
202302;24/02/2023;DKI2;22;34;16;10;31;25;34;PM25;BAIK
202302;24/02/2023;DKI3;22;49;14;8;15;5;49;PM25;BAIK
202302;24/02/2023;DKI4;51;49;26;9;10;17;51;PM10;SEDANG
202302;25/02/2023;DKI5;35;-;13;12;31;18;35;PM10;BAIK
202302;25/02/2023;DKI1;36;45;44;9;27;29;45;PM25;BAIK
202302;25/02/2023;DKI2;37;47;16;9;35;23;47;PM25;BAIK
202302;25/02/2023;DKI3;46;61;14;7;18;5;61;PM25;SEDANG
202302;25/02/2023;DKI4;45;55;26;11;14;18;55;PM25;SEDANG
202302;26/02/2023;DKI5;23;-;14;9;32;11;32;O3;BAIK
202302;26/02/2023;DKI1;34;44;44;10;26;23;44;PM25;BAIK
202302;26/02/2023;DKI2;29;47;17;8;36;18;47;PM25;BAIK
202302;26/02/2023;DKI3;33;49;14;6;17;3;49;PM25;BAIK
202302;26/02/2023;DKI4;40;52;27;8;15;12;52;PM25;SEDANG
202302;27/02/2023;DKI5;20;-;13;8;33;13;33;O3;BAIK
202302;27/02/2023;DKI1;32;32;43;10;30;24;43;SO2;BAIK
202302;27/02/2023;DKI2;35;34;17;5;39;13;39;O3;BAIK
202302;27/02/2023;DKI3;28;45;13;6;21;3;45;PM25;BAIK
202302;27/02/2023;DKI4;46;50;27;7;16;15;50;PM25;BAIK
202302;28/02/2023;DKI5;30;-;21;11;28;18;30;PM10;BAIK
202302;28/02/2023;DKI1;43;54;52;10;19;32;54;PM25;SEDANG
202302;28/02/2023;DKI2;35;50;22;8;26;22;50;PM25;BAIK
202302;28/02/2023;DKI3;46;63;14;7;17;4;63;PM25;SEDANG
202302;28/02/2023;DKI4;54;61;29;10;14;18;61;PM25;SEDANG
202303;01/03/2023;DKI1;38;44;50;8;19;27;50;SO2;BAIK
202303;01/03/2023;DKI2;37;41;20;10;20;23;41;PM25;BAIK
202303;01/03/2023;DKI3;30;38;13;7;11;3;38;PM25;BAIK
202303;01/03/2023;DKI4;35;50;28;11;7;17;50;PM25;BAIK
202303;01/03/2023;DKI5;28;-;17;10;25;14;28;PM10;BAIK
202303;02/03/2023;DKI1;29;33;47;11;21;27;47;SO2;BAIK
202303;02/03/2023;DKI2;26;38;19;13;15;25;38;PM25;BAIK
202303;02/03/2023;DKI3;23;29;13;7;9;2;29;PM25;BAIK
202303;02/03/2023;DKI4;38;39;27;10;5;13;39;PM25;BAIK
